
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
159,Georgia Southern,Sun Belt,-3.62,3.07,-0.54,97.48,97.31,0.17
160,Indiana State,MVC,1.84,-2.42,-0.58,99.86,99.31,0.55
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
161,Manhattan,MAAC,1.82,-2.46,-0.64,98.93,99.24,-0.31
162,Oakland,Horizon,6.96,-7.64,-0.68,107.69,107.34,0.36
163,Canisius,MAAC,-4.01,3.23,-0.79,98.16,98.51,-0.35
164,Morehead State,OVC (East),-0.11,-0.68,-0.79,99.59,100.59,-1.01
165,Princeton,Ivy,0.69,-1.75,-1.06,103.74,104.32,-0.57
166,George Mason,A-10,-0.62,-0.45,-1.07,100.58,101.04,-0.46
167,Florida Gulf Coast,A-Sun,-2.63,1.51,-1.12,97.64,98.54,-0.89
168,Northern Illinois,MAC (West),-3.04,1.77,-1.27,99.65,100.80,-1.16
169,Quinnipiac,MAAC,2.05,-3.34,-1.29,100.00,101.07,-1.07
170,Tulane,AAC,-2.47,1.16,-1.31,99.27,100.19,-0.93
171,Rider,MAAC,-2.73,1.32,-1.41,98.43,99.80,-1.36
172,Coastal Carolina,Big South,-1.53,0.08,-1.46,102.09,102.81,-0.72
173,Air Force,MWC,-0.85,-0.66,-1.50,106.77,107.66,-0.90
174,Chattanooga,Southern,0.70,-2.22,-1.52,100.82,102.10,-1.28
175,Montana,Big Sky,-0.33,-1.29,-1.62,102.15,103.00,-0.85
176,South Carolina Upstate,A-Sun,-2.23,0.60,-1.64,101.19,102.25,-1.07
177,Houston,AAC,-1.41,-0.45,-1.86,100.16,101.74,-1.58
178,Mercer,Southern,-4.04,2.19,-1.86,101.55,103.07,-1.52
179,Fordham,A-10,-0.78,-1.09,-1.87,100.15,101.78,-1.63
180,Fresno State,MWC,-0.24,-1.65,-1.89,100.71,102.48,-1.77
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
181,North Carolina-Wilmington,CAA,0.72,-2.63,-1.91,98.89,100.43,-1.53
182,Monmouth,MAAC,-3.46,1.48,-1.98,97.34,99.23,-1.88
183,St. Francis (NY),NEC,-2.06,0.05,-2.01,99.70,101.12,-1.42
184,Detroit Mercy,Horizon,1.93,-4.01,-2.07,99.93,101.56,-1.63
185,North Dakota State,Summit,-5.65,3.47,-2.18,99.50,100.46,-0.96
186,James Madison,CAA,-0.66,-1.72,-2.38,102.09,104.38,-2.29
187,Dartmouth,Ivy,-4.26,1.73,-2.53,98.53,101.21,-2.68
188,Pacific,WCC,-2.21,-0.35,-2.55,101.28,105.07,-3.79
189,East Carolina,AAC,-3.45,0.86,-2.59,101.56,104.69,-3.13
190,Rice,CUSA,-2.77,0.16,-2.61,99.57,102.80,-3.23
191,High Point,Big South,1.08,-3.70,-2.62,103.37,106.19,-2.82
192,Lafayette,Patriot,4.92,-7.58,-2.66,110.27,113.36,-3.09
193,Colgate,Patriot,-2.35,-0.33,-2.67,103.64,106.68,-3.04
194,Duquesne,A-10,5.81,-8.48,-2.67,105.88,109.23,-3.35
195,Saint Peter's,MAAC,-7.61,4.85,-2.76,96.81,99.93,-3.12
196,Louisiana-Monroe,Sun Belt,-8.32,5.56,-2.77,93.53,96.98,-3.45
197,Lehigh,Patriot,-1.07,-1.73,-2.80,95.62,99.59,-3.97
198,Robert Morris,NEC,-1.16,-1.82,-2.98,99.52,102.57,-3.05
199,Texas-San Antonio,CUSA,2.34,-5.53,-3.19,103.27,107.03,-3.77
200,IPFW,Summit,-0.13,-3.08,-3.21,103.66,106.88,-3.22
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
201,Tennessee-Martin,OVC (West),-1.37,-1.90,-3.27,105.01,108.22,-3.21
202,Miami (OH),MAC (East),-0.41,-2.87,-3.28,100.71,104.22,-3.51
203,American,Patriot,-10.05,6.67,-3.37,98.46,102.90,-4.44
204,Cornell,Ivy,-5.32,1.93,-3.39,93.35,97.51,-4.15
205,NJIT,Ind,0.22,-3.64,-3.42,99.49,103.35,-3.86
206,New Hampshire,AEC,-3.29,-0.24,-3.53,96.91,101.09,-4.18
207,Bucknell,Patriot,0.09,-3.67,-3.58,101.98,106.64,-4.66
208,Ohio,MAC (East),0.92,-4.52,-3.60,99.95,104.56,-4.61
209,Loyola Marymount,WCC,-2.72,-0.90,-3.61,100.92,106.35,-5.43
