Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
299,Mount St. Mary's,NEC,-10.19,-1.54,-11.72,89.04,106.21,-17.17
300,Monmouth,NEC,-2.64,-9.29,-11.93,91.56,108.28,-16.72
301,Southeastern Louisiana,Southland (East),-13.74,1.80,-11.94,81.83,99.26,-17.44
302,NJIT,GWC,-6.64,-5.45,-12.09,91.92,108.93,-17.00
303,Texas A&M-Corpus Christi,Southland (West),-9.80,-2.40,-12.21,85.80,103.34,-17.54
304,North Carolina A&T,MEAC,-4.07,-8.27,-12.34,88.78,106.24,-17.46
305,Brown,Ivy,-8.25,-4.27,-12.52,90.56,109.34,-18.78
306,Louisiana-Monroe,Sun Belt (West),-7.32,-5.24,-12.56,92.63,111.36,-18.74
307,Cal State Northridge,Big West,-2.47,-10.18,-12.65,93.32,110.80,-17.48
308,Radford,Big South,-10.77,-2.37,-13.14,85.97,104.80,-18.83
309,Saint Francis (PA),NEC,-9.72,-3.47,-13.18,89.85,109.29,-19.43
310,Southern Illinois-Edwardsville,OVC,-4.83,-8.47,-13.30,90.61,109.62,-19.01
311,Saint Peter's,MAAC,-12.09,-1.28,-13.37,85.47,105.13,-19.67
312,Hartford,AEC,-9.68,-3.73,-13.41,86.43,105.49,-19.06
313,Texas-Pan American,GWC,-10.41,-3.25,-13.66,87.99,108.08,-20.09
314,Citadel,Southern (South),-8.47,-6.02,-14.49,89.19,110.23,-21.03
315,Howard,MEAC,-10.08,-4.51,-14.59,85.65,106.29,-20.64
316,Navy,Patriot,-13.60,-1.00,-14.60,86.56,108.97,-22.41
317,Canisius,MAAC,-5.58,-9.15,-14.73,91.26,112.23,-20.97
318,Colgate,Patriot,-5.25,-9.67,-14.91,92.50,114.58,-22.08
319,Kennesaw State,A-Sun,-7.16,-7.86,-15.02,92.90,115.80,-22.90
320,Florida A&M,MEAC,-5.33,-10.25,-15.58,88.13,109.73,-21.60
321,California-Davis,Big West,-7.83,-7.77,-15.60,89.76,112.85,-23.09
322,Northern Illinois,MAC (West),-13.40,-2.22,-15.62,84.86,108.48,-23.62
323,Alabama State,SWAC,-13.06,-2.73,-15.79,82.26,105.24,-22.99
324,Houston Baptist,GWC,-2.34,-13.73,-16.07,88.80,109.93,-21.13
325,Southern,SWAC,-11.73,-4.44,-16.17,84.54,107.58,-23.04
326,Towson,CAA,-15.39,-1.32,-16.71,82.85,108.43,-25.58
327,Northern Arizona,Big Sky,-10.35,-6.37,-16.72,86.72,111.42,-24.70
328,Arkansas-Pine Bluff,SWAC,-8.82,-7.95,-16.77,88.06,112.15,-24.09
329,Maryland-Eastern Shore,MEAC,-10.45,-6.34,-16.79,82.47,106.45,-23.99
330,Prairie View,SWAC,-10.37,-6.51,-16.87,80.57,104.25,-23.68
331,Fairleigh Dickinson,NEC,-10.11,-6.89,-16.99,84.35,108.76,-24.41
332,Tennessee-Martin,OVC,-7.36,-9.73,-17.09,88.91,113.71,-24.80
333,Central Arkansas,Southland (East),-0.93,-16.32,-17.26,89.22,112.51,-23.28
334,Jackson State,SWAC,-14.39,-3.11,-17.50,83.99,109.63,-25.64
335,Bryant,NEC,-7.77,-10.13,-17.90,89.71,116.02,-26.31
336,Nicholls State,Southland (East),-5.58,-12.97,-18.55,92.22,117.64,-25.43
337,Chicago State,GWC,-7.86,-11.44,-19.30,82.77,108.86,-26.09
338,Alabama A&M,SWAC,-8.85,-10.48,-19.33,85.00,112.51,-27.52
339,Alcorn State,SWAC,-10.72,-8.86,-19.57,84.83,112.06,-27.23
340,Maryland-Baltimore County,AEC,-6.60,-13.25,-19.85,85.79,113.74,-27.95
341,Binghamton,AEC,-12.73,-7.41,-20.14,82.76,112.59,-29.83
342,Longwood,Ind,-0.36,-20.12,-20.47,93.70,122.02,-28.32
343,South Carolina State,MEAC,-6.06,-14.74,-20.80,86.50,115.39,-28.89
344,Grambling,SWAC,-17.52,-9.30,-26.82,76.44,114.82,-38.38
